"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state09","female","with_children","care","formal","developmental","active",14645373.7714286,366030.09
"state36","female","with_children","care","formal","developmental","active",69951891.8571429,1864359.88
"state34","female","with_children","care","formal","developmental","active",25991019.7714286,981160.63
"state42","female","with_children","care","formal","developmental","active",42992602.7142857,1180059.47
"state39","female","with_children","care","formal","developmental","active",38242461.0857143,1215113.07
"state18","female","with_children","care","formal","developmental","active",28593303.3428571,818598.2
"state17","female","with_children","care","formal","developmental","active",53256670.1142857,1347207.91
"state26","female","with_children","care","formal","developmental","active",31270937.4,1006186.02
"state55","female","with_children","care","formal","developmental","active",20791856.8285714,653678.8
"state27","female","with_children","care","formal","developmental","active",25034899.4571429,613234.52
"state19","female","with_children","care","formal","developmental","active",10546215.4285714,332642.26
"state29","female","with_children","care","formal","developmental","active",13163722.6285714,652240.1
"state38","female","with_children","care","formal","developmental","active",3243911.14285714,93680.21
"state46","female","with_children","care","formal","developmental","active",4398096,89678.33
"state31","female","with_children","care","formal","developmental","active",8118878.4,227435.22
"state20","female","with_children","care","formal","developmental","active",9910880.57142857,313679.37
"state10","female","with_children","care","formal","developmental","active",5284889.31428571,106086.84
"state24","female","with_children","care","formal","developmental","active",16301709.4285714,598436.13
"state11","female","with_children","care","formal","developmental","active",1544611.28571429,47664.42
"state51","female","with_children","care","formal","developmental","active",30069648.2571429,924309.22
"state54","female","with_children","care","formal","developmental","active",4552132.2,172352.07
"state37","female","with_children","care","formal","developmental","active",23450998.8857143,1125154.11
"state45","female","with_children","care","formal","developmental","active",24896707.5428571,635859.95
"state13","female","with_children","care","formal","developmental","active",41222158.9714286,1224633.54
"state12","female","with_children","care","formal","developmental","active",48808192.3714286,2051044.61
"state21","female","with_children","care","formal","developmental","active",17436811.8,450977.96
"state47","female","with_children","care","formal","developmental","active",20153138.3142857,770386.01
"state01","female","with_children","care","formal","developmental","active",17788485.8571429,520994.31
"state28","female","with_children","care","formal","developmental","active",9646892.57142857,288481.45
"state05","female","with_children","care","formal","developmental","active",8533671.17142857,324888.14
"state22","female","with_children","care","formal","developmental","active",16271845.0285714,484123.96
"state40","female","with_children","care","formal","developmental","active",13285551.8571429,416853.4
"state48","female","with_children","care","formal","developmental","active",99381731.4857143,3511283.28
"state30","female","with_children","care","formal","developmental","active",2716072.97142857,116512.01
"state16","female","with_children","care","formal","developmental","active",10018368.8571429,238036.96
"state56","female","with_children","care","formal","developmental","active",2745442.97142857,67059.03
"state08","female","with_children","care","formal","developmental","active",18168563.4857143,599375.46
"state35","female","with_children","care","formal","developmental","active",7431910.54285714,217586.96
"state04","female","with_children","care","formal","developmental","active",16393865.4,696075.76
"state49","female","with_children","care","formal","developmental","active",12153270.1714286,391552.88
"state32","female","with_children","care","formal","developmental","active",3566124.68571429,326882.4
"state53","female","with_children","care","formal","developmental","active",21207006.9428571,913998.05
"state41","female","with_children","care","formal","developmental","active",11053141.8,437386.13
"state06","female","with_children","care","formal","developmental","active",95739596.7428571,3888548.36
"state02","female","with_children","care","formal","developmental","active",3236656.88571429,80380.19
"state15","female","with_children","care","formal","developmental","active",3419382.42857143,152217.34
"national","female","with_children","care","formal","developmental","active",1055024148.17143,34651174.27
"state23","female","with_children","care","formal","health","active",8521415.65714286,132790.56
"state33","female","with_children","care","formal","health","active",7916780.4,111906.66
"state50","female","with_children","care","formal","health","active",3045068.05714286,64525.58
"state25","female","with_children","care","formal","health","active",33336433.2857143,704279.22
"state44","female","with_children","care","formal","health","active",7067491.02857143,103547.24
"state09","female","with_children","care","formal","health","active",24897635.7428571,366030.09
"state36","female","with_children","care","formal","health","active",123678610.2,1864359.88
"state34","female","with_children","care","formal","health","active",45693191.4,981160.63
"state42","female","with_children","care","formal","health","active",57829346.5714286,1180059.47
"state39","female","with_children","care","formal","health","active",64192013.6571429,1215113.07
"state18","female","with_children","care","formal","health","active",44024309.5714286,818598.2
"state17","female","with_children","care","formal","health","active",54998433.4285714,1347207.91
"state26","female","with_children","care","formal","health","active",56889220.8857143,1006186.02
"state55","female","with_children","care","formal","health","active",33762408.4285714,653678.8
"state27","female","with_children","care","formal","health","active",36506921.6571429,613234.52
"state19","female","with_children","care","formal","health","active",20448011.4857143,332642.26
"state29","female","with_children","care","formal","health","active",34308338.4,652240.1
"state38","female","with_children","care","formal","health","active",5671317.51428571,93680.21
"state46","female","with_children","care","formal","health","active",5389577.05714286,89678.33
"state31","female","with_children","care","formal","health","active",17653057.8,227435.22
"state20","female","with_children","care","formal","health","active",11870972.4,313679.37
"state10","female","with_children","care","formal","health","active",5057066.22857143,106086.84
"state24","female","with_children","care","formal","health","active",34711728.8571429,598436.13
"state11","female","with_children","care","formal","health","active",1973592.6,47664.42
"state51","female","with_children","care","formal","health","active",35227564.3714286,924309.22
"state54","female","with_children","care","formal","health","active",10859242.0285714,172352.07
"state37","female","with_children","care","formal","health","active",46997975.4857143,1125154.11
"state45","female","with_children","care","formal","health","active",28155175.1142857,635859.95
"state13","female","with_children","care","formal","health","active",47550802.1142857,1224633.54
"state12","female","with_children","care","formal","health","active",98213936.8285714,2051044.61
"state21","female","with_children","care","formal","health","active",21023516.2285714,450977.96
"state47","female","with_children","care","formal","health","active",44066400.4285714,770386.01
"state01","female","with_children","care","formal","health","active",20593890.9428571,520994.31
"state28","female","with_children","care","formal","health","active",15171301.5428571,288481.45
"state05","female","with_children","care","formal","health","active",16871467.5428571,324888.14
"state22","female","with_children","care","formal","health","active",21250568.8285714,484123.96
"state40","female","with_children","care","formal","health","active",19885194.6857143,416853.4
"state48","female","with_children","care","formal","health","active",127371299.142857,3511283.28
"state30","female","with_children","care","formal","health","active",6103743.34285714,116512.01
"state16","female","with_children","care","formal","health","active",8728888.45714286,238036.96
"state56","female","with_children","care","formal","health","active",3262053.17142857,67059.03
"state08","female","with_children","care","formal","health","active",30529680.5142857,599375.46
"state35","female","with_children","care","formal","health","active",8783776.11428571,217586.96
"state04","female","with_children","care","formal","health","active",29109903.4285714,696075.76
"state49","female","with_children","care","formal","health","active",15991032.6,391552.88
"state32","female","with_children","care","formal","health","active",9551583.94285714,326882.4
"state53","female","with_children","care","formal","health","active",26070751.5428571,913998.05
"state41","female","with_children","care","formal","health","active",21210051.3428571,437386.13
"state06","female","with_children","care","formal","health","active",147754718.485714,3888548.36
"state02","female","with_children","care","formal","health","active",4410672.42857143,80380.19
"state15","female","with_children","care","formal","health","active",7397045.31428572,152217.34
"national","female","with_children","care","formal","health","active",1611585178.28571,34651174.27
"state23","female","without_children","care","formal","daily_living","active",8510116.11428571,401675.69
"state33","female","without_children","care","formal","daily_living","active",6605031.85714286,402489.9
"state50","female","without_children","care","formal","daily_living","active",1207025.57142857,182567.77
"state25","female","without_children","care","formal","daily_living","active",29340858.8571429,1763926.14
"state44","female","without_children","care","formal","daily_living","active",7608560.91428571,290552.78
"state09","female","without_children","care","formal","daily_living","active",10502413.1142857,900290.81
"state36","female","without_children","care","formal","daily_living","active",72225599.9142857,4988938.04
"state34","female","without_children","care","formal","daily_living","active",32682542.0571429,2073809.9
"state42","female","without_children","care","formal","daily_living","active",52612345.8857143,3244363.17
"state39","female","without_children","care","formal","daily_living","active",46884309.3428571,2884291.44
"state18","female","without_children","care","formal","daily_living","active",32851649.9142857,1582186.29
"state17","female","without_children","care","formal","daily_living","active",46649637.2571429,3036351.49
"state26","female","without_children","care","formal","daily_living","active",40000164.1714286,2415418.65
"state55","female","without_children","care","formal","daily_living","active",24431118.9428571,1442976.49
"state27","female","without_children","care","formal","daily_living","active",24649743.5142857,1427579.9
"state19","female","without_children","care","formal","daily_living","active",19911871.6285714,808804.18
"state29","female","without_children","care","formal","daily_living","active",24877454.3142857,1519646.87
"state38","female","without_children","care","formal","daily_living","active",3119406.77142857,173637.09
"state46","female","without_children","care","formal","daily_living","active",4794800.74285714,224246.84
"state31","female","without_children","care","formal","daily_living","active",5677583.31428571,459438.1
"state20","female","without_children","care","formal","daily_living","active",11498389.6285714,707781
"state10","female","without_children","care","formal","daily_living","active",2604067.97142857,266371.32
"state24","female","without_children","care","formal","daily_living","active",21910172.4857143,1509432.49
"state11","female","without_children","care","formal","daily_living","active",2450624.4,223310.58
"state51","female","without_children","care","formal","daily_living","active",19769541.2571429,2099460.26
"state54","female","without_children","care","formal","daily_living","active",5771612.05714286,445493.3
"state37","female","without_children","care","formal","daily_living","active",34432685.2285714,2801083.52
"state45","female","without_children","care","formal","daily_living","active",21295930.7142857,1336837.49
"state13","female","without_children","care","formal","daily_living","active",40453912.4571429,2710740.42
"state12","female","without_children","care","formal","daily_living","active",114476559,5998158.4
"state21","female","without_children","care","formal","daily_living","active",21639539.3142857,1162108.73
"state47","female","without_children","care","formal","daily_living","active",24790360.9714286,1754660.8
"state01","female","without_children","care","formal","daily_living","active",24526996.9714286,1311147.06
"state28","female","without_children","care","formal","daily_living","active",15851061.6857143,735307.3
"state05","female","without_children","care","formal","daily_living","active",12687470.4,736075.6
"state22","female","without_children","care","formal","daily_living","active",22496078.6571429,1071847.81
"state40","female","without_children","care","formal","daily_living","active",18537143.1428571,987847.14
"state48","female","without_children","care","formal","daily_living","active",128129301.342857,6567935.32
"state30","female","without_children","care","formal","daily_living","active",5632885.62857143,294271.92
"state16","female","without_children","care","formal","daily_living","active",9419670.77142857,438131.2
"state56","female","without_children","care","formal","daily_living","active",2261541.34285714,134037.24
"state08","female","without_children","care","formal","daily_living","active",15113330.4,1446028.63
"state35","female","without_children","care","formal","daily_living","active",10257031.2,521733.75
"state04","female","without_children","care","formal","daily_living","active",41831034.4285714,1895835.46
"state49","female","without_children","care","formal","daily_living","active",10265643.1714286,711670.9
"state32","female","without_children","care","formal","daily_living","active",19001812.2857143,735200.55
"state53","female","without_children","care","formal","daily_living","active",37011309.6,1827374.51
"state41","female","without_children","care","formal","daily_living","active",19091815.2857143,1110036.34
