"date","geo_level","category_id","subcategory_id","formal_care_labor_force","formal_care_labor_force_proportion","formal_care_time","formal_care_time_proportion","formal_value","formal_value_proportion"
1997-01-01,"state37","overall","overall",801505.7,0.146813973869702,NA,NA,NA,NA
1997-01-01,"state38","overall","overall",83572.94,0.180112316994802,NA,NA,NA,NA
1997-01-01,"state39","overall","overall",1378569.38,0.167100962858807,NA,NA,NA,NA
1997-01-01,"state40","overall","overall",373736.32,0.15513289834621,NA,NA,NA,NA
1997-01-01,"state41","overall","overall",367355.25,0.151150991873114,NA,NA,NA,NA
1997-01-01,"state42","overall","overall",1470971.35,0.164230446434319,NA,NA,NA,NA
1997-01-01,"state44","overall","overall",121288.39,0.16465428243861,NA,NA,NA,NA
1997-01-01,"state45","overall","overall",436559.85,0.158833047494266,NA,NA,NA,NA
1997-01-01,"state46","overall","overall",94349.33,0.181939301995276,NA,NA,NA,NA
1997-01-01,"state47","overall","overall",596442.06,0.147645547090883,NA,NA,NA,NA
1997-01-01,"state48","overall","overall",2279057.57,0.166849819556442,NA,NA,NA,NA
1997-01-01,"state49","overall","overall",232872.91,0.173144720291832,NA,NA,NA,NA
1997-01-01,"state50","overall","overall",79846.78,0.184878256636789,NA,NA,NA,NA
1997-01-01,"state51","overall","overall",718813.59,0.143074601847014,NA,NA,NA,NA
1997-01-01,"state53","overall","overall",628378.93,0.152705385320186,NA,NA,NA,NA
1997-01-01,"state54","overall","overall",221993.32,0.158658932044456,NA,NA,NA,NA
1997-01-01,"state55","overall","overall",633872.36,0.167895963808454,NA,NA,NA,NA
1997-01-01,"state56","overall","overall",69536.05,0.198517628004966,NA,NA,NA,NA
1998-01-01,"state01","overall","overall",480921.4,0.15031614949257,NA,NA,NA,NA
1998-01-01,"state02","overall","overall",71817.36,0.165177602464535,NA,NA,NA,NA
1998-01-01,"state04","overall","overall",545007.36,0.1645065487754,NA,NA,NA,NA
1998-01-01,"state05","overall","overall",260448.45,0.14001920852404,NA,NA,NA,NA
1998-01-01,"state06","overall","overall",3693229.87,0.1562171106625,NA,NA,NA,NA
1998-01-01,"state08","overall","overall",463850.89,0.15959372665772,NA,NA,NA,NA
1998-01-01,"state09","overall","overall",413432.43,0.168731636645749,NA,NA,NA,NA
1998-01-01,"state10","overall","overall",91798.92,0.166207992992965,NA,NA,NA,NA
1998-01-01,"state11","overall","overall",67478.68,0.167931674661205,NA,NA,NA,NA
1998-01-01,"state12","overall","overall",1658191.08,0.147284054021808,NA,NA,NA,NA
1998-01-01,"state13","overall","overall",845008.11,0.154099104150994,NA,NA,NA,NA
1998-01-01,"state15","overall","overall",169200.51,0.190889548481241,NA,NA,NA,NA
1998-01-01,"state16","overall","overall",139157.1,0.159556359866621,NA,NA,NA,NA
1998-01-01,"state17","overall","overall",1319799.65,0.152775346940166,NA,NA,NA,NA
1998-01-01,"state18","overall","overall",651603.69,0.152135331614773,NA,NA,NA,NA
1998-01-01,"state19","overall","overall",381433.92,0.184156180603277,NA,NA,NA,NA
1998-01-01,"state20","overall","overall",351467.41,0.187409749372606,NA,NA,NA,NA
1998-01-01,"state21","overall","overall",477309.41,0.16222253928953,NA,NA,NA,NA
1998-01-01,"state22","overall","overall",480304.95,0.151866174642195,NA,NA,NA,NA
1998-01-01,"state23","overall","overall",166337.92,0.174867375251083,NA,NA,NA,NA
1998-01-01,"state24","overall","overall",650627.78,0.170870802738344,NA,NA,NA,NA
1998-01-01,"state25","overall","overall",844409.45,0.182459423338822,NA,NA,NA,NA
1998-01-01,"state26","overall","overall",1121995.83,0.155984979691702,NA,NA,NA,NA
1998-01-01,"state27","overall","overall",668029.44,0.198829330801963,NA,NA,NA,NA
1998-01-01,"state28","overall","overall",299710.7,0.152218442375898,NA,NA,NA,NA
1998-01-01,"state29","overall","overall",567544.28,0.143412411522614,NA,NA,NA,NA
1998-01-01,"state30","overall","overall",117314.45,0.17994535059467,NA,NA,NA,NA
1998-01-01,"state31","overall","overall",214532.21,0.178772805870574,NA,NA,NA,NA
1998-01-01,"state32","overall","overall",235745.45,0.185298114342485,NA,NA,NA,NA
1998-01-01,"state33","overall","overall",135768.61,0.156146497759901,NA,NA,NA,NA
1998-01-01,"state34","overall","overall",918817.54,0.152931167305211,NA,NA,NA,NA
1998-01-01,"state35","overall","overall",210410.33,0.169572051939175,NA,NA,NA,NA
1998-01-01,"state36","overall","overall",2364042.18,0.175664806534393,NA,NA,NA,NA
1998-01-01,"state37","overall","overall",837315.11,0.151585141464955,NA,NA,NA,NA
1998-01-01,"state38","overall","overall",97683.11,0.210909717839505,NA,NA,NA,NA
1998-01-01,"state39","overall","overall",1340468.38,0.16349756952599,NA,NA,NA,NA
1998-01-01,"state40","overall","overall",395839.43,0.164096186139467,NA,NA,NA,NA
1998-01-01,"state41","overall","overall",408298.81,0.165626089231508,NA,NA,NA,NA
1998-01-01,"state42","overall","overall",1469505.96,0.163603439687191,NA,NA,NA,NA
1998-01-01,"state44","overall","overall",110968.15,0.149432739313142,NA,NA,NA,NA
1998-01-01,"state45","overall","overall",453306.39,0.162697478414139,NA,NA,NA,NA
1998-01-01,"state46","overall","overall",92837.34,0.175471294453332,NA,NA,NA,NA
1998-01-01,"state47","overall","overall",560593.23,0.138488307705506,NA,NA,NA,NA
1998-01-01,"state48","overall","overall",2212145.71,0.15976898461431,NA,NA,NA,NA
1998-01-01,"state49","overall","overall",209692.49,0.149710857428072,NA,NA,NA,NA
1998-01-01,"state50","overall","overall",83223.98,0.191335672013831,NA,NA,NA,NA
1998-01-01,"state51","overall","overall",679392.98,0.133990243890856,NA,NA,NA,NA
1998-01-01,"state53","overall","overall",702533.22,0.168860137046175,NA,NA,NA,NA
1998-01-01,"state54","overall","overall",212347.66,0.151278575945606,NA,NA,NA,NA
1998-01-01,"state55","overall","overall",667282.61,0.175670347069074,NA,NA,NA,NA
1998-01-01,"state56","overall","overall",57974.27,0.167487454605561,NA,NA,NA,NA
1999-01-01,"state01","overall","overall",504796.06,0.156314600849564,NA,NA,NA,NA
1999-01-01,"state02","overall","overall",70405.94,0.163010703713404,NA,NA,NA,NA
1999-01-01,"state04","overall","overall",528146.06,0.15085951590007,NA,NA,NA,NA
1999-01-01,"state05","overall","overall",270640.62,0.143047047782932,NA,NA,NA,NA
1999-01-01,"state06","overall","overall",3574713.12,0.14869336825906,NA,NA,NA,NA
1999-01-01,"state08","overall","overall",537710.67,0.181306569764224,NA,NA,NA,NA
1999-01-01,"state09","overall","overall",378113.54,0.154449371842464,NA,NA,NA,NA
1999-01-01,"state10","overall","overall",97962.31,0.172389847666999,NA,NA,NA,NA
1999-01-01,"state11","overall","overall",67254.49,0.163996414314534,NA,NA,NA,NA
1999-01-01,"state12","overall","overall",1783083.05,0.156107480721889,NA,NA,NA,NA
1999-01-01,"state13","overall","overall",852947.54,0.152749326938446,NA,NA,NA,NA
1999-01-01,"state15","overall","overall",160155.48,0.180338836690693,NA,NA,NA,NA
