"activity_id","provision_interval","population","geo"
"food-preparation-workers-state39","24694325.7241714","99860.06644","state39"
"food-preparation-workers-state18","12874348.2828","48861.4091","state18"
"food-preparation-workers-state17","19988803.6481143","85182.07672","state17"
"food-preparation-workers-state26","19132066.2718286","75453.05532","state26"
"food-preparation-workers-state55","10753329.3171429","41279.00592","state55"
"food-preparation-workers-state27","6508843.33834286","25947.8375","state27"
"food-preparation-workers-state19","5559321.42977143","22459.13942","state19"
"food-preparation-workers-state29","7722648.13182857","30439.0086","state29"
"food-preparation-workers-state38","1281688.1604","4658.90654","state38"
"food-preparation-workers-state46","1662173.16565714","6197.87036","state46"
"food-preparation-workers-state31","3625716.87805714","13633.7467","state31"
"food-preparation-workers-state20","5238622.17257143","19264.49316","state20"
"food-preparation-workers-state10","1153395.28971429","4539.34646","state10"
"food-preparation-workers-state24","11202465.3954857","40058.6966","state24"
"food-preparation-workers-state11","498690.992228571","1964.19692","state11"
"food-preparation-workers-state51","13832351.4795429","53401.46322","state51"
"food-preparation-workers-state54","2854992.32468571","11221.62684","state54"
"food-preparation-workers-state37","17927123.5781143","69688.044","state37"
"food-preparation-workers-state45","7337333.42691429","25979.81276","state45"
"food-preparation-workers-state13","12781998.6411429","50563.81582","state13"
"food-preparation-workers-state12","45527908.7252571","155928.6827","state12"
"food-preparation-workers-state21","6426230.74045714","22675.52054","state21"
"food-preparation-workers-state47","11106543.9963429","38441.72772","state47"
"food-preparation-workers-state01","8022634.17102857","25232.35812","state01"
"food-preparation-workers-state28","5033925.99702857","17210.46296","state28"
"food-preparation-workers-state05","5109945.18702857","18728.60906","state05"
"food-preparation-workers-state22","8400162.21514286","31588.73942","state22"
"food-preparation-workers-state40","7440113.51297143","27018.77636","state40"
"food-preparation-workers-state48","58852694.2897714","210369.27056","state48"
"food-preparation-workers-state30","1783626.12342857","7038.97056","state30"
"food-preparation-workers-state16","4102930.59428571","17158.40824","state16"
"food-preparation-workers-state56","1151759.83217143","4595.89688","state56"
"food-preparation-workers-state08","9940879.3416","40217.98548","state08"
"food-preparation-workers-state35","3363194.93725714","13185.40218","state35"
"food-preparation-workers-state04","14578145.1065143","53825.07792","state04"
"food-preparation-workers-state49","5730068.2152","23274.09998","state49"
"food-preparation-workers-state32","8952001.04502857","32741.57966","state32"
"food-preparation-workers-state53","14724396.5847429","66774.23708","state53"
"food-preparation-workers-state41","9752262.5292","36237.7504","state41"
"food-preparation-workers-state06","79705276.1177143","299754.5457","state06"
"food-preparation-workers-state02","1676394.52611429","5887.68146","state02"
"food-preparation-workers-state15","3368915.07857143","13318.03454","state15"
"hairdressers-hairstylists-and-cosmetologists-state33","1482914.99211429","6618.58374","state33"
"hairdressers-hairstylists-and-cosmetologists-state50","413059.440514286","1497.58268","state50"
"hairdressers-hairstylists-and-cosmetologists-state25","5248134.92931429","23981.01794","state25"
"hairdressers-hairstylists-and-cosmetologists-state44","1548299.53337143","6084.84388","state44"
"hairdressers-hairstylists-and-cosmetologists-state09","2489011.78885714","10329.05784","state09"
"hairdressers-hairstylists-and-cosmetologists-state36","21835069.8330857","87538.94348","state36"
"hairdressers-hairstylists-and-cosmetologists-state34","8723303.15811429","32408.31722","state34"
