"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2018-01-01,"state34",146939.403290075,0.0200842384028651,1511380.34177287,671
2018-01-01,"state35",58708.6555325616,0.0352934589922226,527687.409682187,398
2018-01-01,"state36",373786.89094495,0.0257913426620403,3253941.57536179,585
2018-01-01,"state37",218605.134955691,0.0271593650086297,1951639.99679262,495
2018-01-01,"state38",31219.3967273277,0.0496767540565234,212139.113265533,275
2018-01-01,"state39",190209.384268395,0.0190800210472008,1616925.23796191,460
2018-01-01,"state40",89032.6624241775,0.0279604503765141,825506.961726605,512
2018-01-01,"state41",101729.502722142,0.027144052627978,1014116.23585707,645
2018-01-01,"state42",271016.430650824,0.0237522786134497,2449658.5927113,525
2018-01-01,"state44",19784.7284631775,0.0236449706275726,167616.162809101,446
2018-01-01,"state45",141908.985715226,0.0388410000841707,1338514.35923066,590
2018-01-01,"state46",22766.5161669025,0.0270858824657522,231804.666562859,735
2018-01-01,"state47",176299.688609045,0.0312222316964403,1418613.74907956,465
2018-01-01,"state48",629640.522455476,0.0295295030484379,6188719.43632938,611
2018-01-01,"state49",114485.003484776,0.0417797880354269,1036723.5044449,557
2018-01-01,"state50",14689.5240467112,0.0296812465243629,178185.296526023,740
2018-01-01,"state51",159030.359730659,0.0208100987479395,1201690.17579254,376
2018-01-01,"state53",160749.382346826,0.0273470697290684,1718043.42478852,726
2018-01-01,"state54",57150.4639986647,0.0331462978270811,653075.291130879,755
2018-01-01,"state55",97994.2270409677,0.0180492623330423,901209.860976172,439
2018-01-01,"state56",29308.3937244805,0.0715658712197757,451532.825906121,1068
2019-01-01,"state01",111593.635514533,0.0277353522807664,1010095.1219724,657
2019-01-01,"state02",24304.725159891,0.059137232000843,287893.852434604,569
2019-01-01,"state04",95731.843011491,0.018746748330186,716609.244233112,463
2019-01-01,"state05",67564.8609077501,0.0268925595325306,692427.727650315,636
2019-01-01,"state06",677112.633910517,0.0256653541763449,5706256.66515524,408
2019-01-01,"state08",131221.685705493,0.0300161396385984,1286244.26809748,690
2019-01-01,"state09",48499.9569516548,0.0175236890111186,347297.038065914,382
2019-01-01,"state10",5169.23768789863,0.0076457641248551,85738.9307838429,1576
2019-01-01,"state11",4566.85710779836,0.00723392469748587,13928.914178785,183
2019-01-01,"state12",350209.313851001,0.0239808210584054,3322636.98128515,620
2019-01-01,"state13",248775.413676569,0.0298436789279693,2242134.89665687,675
2019-01-01,"state15",5795.27909084548,0.00787269720226122,36161.6570295323,350
2019-01-01,"state16",40868.9531165836,0.0293630733649073,403414.628929362,585
2019-01-01,"state17",307945.800669612,0.0267284752546905,2537788.0335646,440
2019-01-01,"state18",128262.882182548,0.0202251022964426,1075817.2767494,450
2019-01-01,"state19",99045.2240741567,0.0332568475984796,850581.971385841,423
2019-01-01,"state20",54366.9509370559,0.0205112769709488,359732.660240566,367
2019-01-01,"state21",94050.4946067063,0.0242287220879633,842209.700041991,606
2019-01-01,"state22",86010.273729834,0.0262408620225642,777857.366227893,514
2019-01-01,"state23",10298.6583115792,0.00866053275257226,96875.4410381049,700
2019-01-01,"state24",102163.262884156,0.0191324222965935,911861.729378518,456
2019-01-01,"state25",121004.364511197,0.0234514655577881,897354.44152127,390
2019-01-01,"state26",260888.278285883,0.030148234407837,2176655.4244773,460
2019-01-01,"state27",141290.446079995,0.0267070821842687,1439484.304122,595
2019-01-01,"state28",106397.260328556,0.0434595748606783,1002293.18427183,630
2019-01-01,"state29",150120.304824614,0.0300659000705158,1141168.64807399,446
2019-01-01,"state30",13896.4339027852,0.0168033004581585,157684.995212202,719
2019-01-01,"state31",39135.341995394,0.0232467358602667,238284.602549227,255
2019-01-01,"state32",67729.3209525381,0.0325535428338478,738648.159292709,735
2019-01-01,"state33",35927.1432737222,0.0336423231065692,84892.1593519992,60
2019-01-01,"state34",133932.995736562,0.0184054137516622,1147114.32704933,615
2019-01-01,"state35",54277.0323502789,0.0316956457776568,398505.825871632,398
2019-01-01,"state36",363150.799522432,0.0249986873839935,3056723.13256411,487
2019-01-01,"state37",248644.000787328,0.0307113391510502,2106050.57912458,482
2019-01-01,"state38",32482.4822435501,0.0508169433001552,226643.545276821,275
2019-01-01,"state39",209001.301785111,0.0202991485664125,1833787.15616798,573
2019-01-01,"state40",84806.9832782099,0.0250230574903136,800806.201861706,515
2019-01-01,"state41",83860.505570354,0.0234984711949974,770856.314180401,640
2019-01-01,"state42",217169.532449724,0.0193588559008584,1731735.06977748,415
2019-01-01,"state44",31562.8956868926,0.0387805108633299,281989.214459101,575
2019-01-01,"state45",141776.806547552,0.0386318563482079,1158155.00277686,427
2019-01-01,"state46",30895.1432161858,0.0382091801460666,230973.67957068,440
2019-01-01,"state47",189100.596222785,0.0329360588325987,1591673.67109305,487
2019-01-01,"state48",576083.447436398,0.0266662999408711,5648769.09490964,615
2019-01-01,"state49",100342.645986659,0.0356392758518609,928766.363408247,557
