"date","geo_level","category_id","subcategory_id","formal_care_time","formal_care_time_proportion","care_flag","informal_care_time","informal_care_time_proportion"
1998-01-01,"state18","overall","overall",183840928.114286,0.196935111233423,NA,NA,NA
1998-01-01,"state19","overall","overall",114273615.171429,0.239794356469981,NA,NA,NA
1998-01-01,"state20","overall","overall",105932152.285714,0.264973584022222,NA,NA,NA
1998-01-01,"state21","overall","overall",134509890.857143,0.251785443335811,NA,NA,NA
1998-01-01,"state22","overall","overall",143604390.857143,0.237967030970169,NA,NA,NA
1998-01-01,"state23","overall","overall",47647495.7142857,0.26165232548912,NA,NA,NA
1998-01-01,"state24","overall","overall",197988748.457143,0.226433391086383,NA,NA,NA
1998-01-01,"state25","overall","overall",241922697.514286,0.255370636219509,NA,NA,NA
1998-01-01,"state26","overall","overall",323165605.8,0.217925026281684,NA,NA,NA
1998-01-01,"state27","overall","overall",201918096.685714,0.25672063519749,NA,NA,NA
1998-01-01,"state28","overall","overall",94008715.2857143,0.250439974859412,NA,NA,NA
1998-01-01,"state29","overall","overall",167674526.142857,0.2184884718166,NA,NA,NA
1998-01-01,"state30","overall","overall",32773997.8285714,0.267101147254328,NA,NA,NA
1998-01-01,"state31","overall","overall",63408357.2571429,0.227432423797798,NA,NA,NA
1998-01-01,"state32","overall","overall",73651985.8285714,0.274654248591288,NA,NA,NA
1998-01-01,"state33","overall","overall",38722652.4,0.206487569953138,NA,NA,NA
1998-01-01,"state34","overall","overall",271582875.171429,0.222450247455803,NA,NA,NA
1998-01-01,"state35","overall","overall",66941054.6571429,0.264783134408913,NA,NA,NA
1998-01-01,"state36","overall","overall",708326939.742857,0.279411540307247,NA,NA,NA
1998-01-01,"state37","overall","overall",256319142.771429,0.222017739311741,NA,NA,NA
1998-01-01,"state38","overall","overall",29525808.8571429,0.322721540445224,NA,NA,NA
1998-01-01,"state39","overall","overall",393218875.628571,0.238427854375948,NA,NA,NA
1998-01-01,"state40","overall","overall",110225053.628571,0.241116216549526,NA,NA,NA
1998-01-01,"state41","overall","overall",112290239.742857,0.231248490081031,NA,NA,NA
1998-01-01,"state42","overall","overall",425432632.714286,0.247086243517156,NA,NA,NA
