"date","geo_level","category_id","subcategory_id","care_labor_force","total_population","care_labor_force_proportion","type"
1991-01-01,"state54","overall","overall",170305.34,1369006.42,0.124400687616936,"Paid"
1991-01-01,"state55","overall","overall",561750.98,3580396.35,0.15689631121426,"Paid"
1991-01-01,"state56","overall","overall",51146.51,328769.64,0.155569443699242,"Paid"
1992-01-01,"state01","overall","overall",403910.5,2994499.01,0.134884165481825,"Paid"
1992-01-01,"state02","overall","overall",55172.89,361472.99,0.152633506586481,"Paid"
1992-01-01,"state04","overall","overall",371018.17,2688090.56,0.138022942947279,"Paid"
1992-01-01,"state05","overall","overall",233129.36,1717229.51,0.135758999389662,"Paid"
1992-01-01,"state06","overall","overall",2915112.72,22223706.81,0.131171309310483,"Paid"
1992-01-01,"state08","overall","overall",350793.38,2426184.95,0.144586413331762,"Paid"
1992-01-01,"state09","overall","overall",353552.09,2457225.63,0.1438826315677,"Paid"
1992-01-01,"state10","overall","overall",71720.07,521342.21,0.137568124399519,"Paid"
1992-01-01,"state11","overall","overall",61320.91,406285.01,0.150930771479854,"Paid"
1992-01-01,"state12","overall","overall",1621974.61,10329343.36,0.157025916698736,"Paid"
1992-01-01,"state13","overall","overall",699361.64,4718902.34,0.148204304647678,"Paid"
1992-01-01,"state15","overall","overall",159286.36,834477.32,0.190881592803505,"Paid"
1992-01-01,"state16","overall","overall",107342.53,724468.66,0.14816725129283,"Paid"
1992-01-01,"state17","overall","overall",1197577.49,8714450.65,0.137424324045027,"Paid"
1992-01-01,"state18","overall","overall",539942.85,4096678.75,0.131800144202178,"Paid"
1992-01-01,"state19","overall","overall",390888.64,2066550.87,0.189150262727382,"Paid"
1992-01-01,"state20","overall","overall",332646.01,1801659.34,0.184633133808748,"Paid"
1992-01-01,"state21","overall","overall",371087.19,2737603.84,0.135551822574884,"Paid"
1992-01-01,"state22","overall","overall",437336,2995986.33,0.145973963773059,"Paid"
1992-01-01,"state23","overall","overall",141395.27,923787.15,0.153060442548914,"Paid"
1992-01-01,"state24","overall","overall",477425.14,3628039.65,0.131593142869869,"Paid"
1992-01-01,"state25","overall","overall",776498.94,4509457.39,0.17219343101499,"Paid"
1992-01-01,"state26","overall","overall",906492.23,6803092.59,0.133247081089631,"Paid"
1992-01-01,"state27","overall","overall",556273.31,3228445.16,0.172303781675511,"Paid"
1992-01-01,"state28","overall","overall",210161.96,1838814.1,0.114292119034763,"Paid"
1992-01-01,"state29","overall","overall",588062,3788235.3,0.155233757522929,"Paid"
1992-01-01,"state30","overall","overall",103819.13,579224.84,0.179238048561591,"Paid"
1992-01-01,"state31","overall","overall",192459.52,1168796.23,0.164664733732072,"Paid"
1992-01-01,"state32","overall","overall",148064.64,926117.91,0.159876661925262,"Paid"
1992-01-01,"state33","overall","overall",129695.42,860427.77,0.150733651936873,"Paid"
1992-01-01,"state34","overall","overall",846355.37,5868396.82,0.144222586842721,"Paid"
1992-01-01,"state35","overall","overall",160552.09,1095205.99,0.146595335914845,"Paid"
1992-01-01,"state36","overall","overall",2013309.35,13280455.63,0.151599418430496,"Paid"
1992-01-01,"state37","overall","overall",740475.52,4973431.47,0.148886241715923,"Paid"
1992-01-01,"state38","overall","overall",77246.78,453394.17,0.170374444823585,"Paid"
1992-01-01,"state39","overall","overall",1235715.67,8039455.92,0.153706380418838,"Paid"
1992-01-01,"state40","overall","overall",288123.44,2328640.51,0.123730321946516,"Paid"
1992-01-01,"state41","overall","overall",303017.58,2193580,0.138138376535162,"Paid"
1992-01-01,"state42","overall","overall",1290266.21,9167170.62,0.140748575922109,"Paid"
1992-01-01,"state44","overall","overall",107188.2,761590.79,0.140742510817391,"Paid"
1992-01-01,"state45","overall","overall",389178.7,2568532.91,0.151517895092884,"Paid"
1992-01-01,"state46","overall","overall",87437.75,498166.37,0.175519174447685,"Paid"
1992-01-01,"state47","overall","overall",477336.66,3698401.13,0.129065680877077,"Paid"
1992-01-01,"state48","overall","overall",1862354.17,12212133.45,0.152500312711535,"Paid"
1992-01-01,"state49","overall","overall",178158.56,1102696.21,0.161566312085175,"Paid"
1992-01-01,"state50","overall","overall",82234.47,431476.74,0.190588419667767,"Paid"
1992-01-01,"state51","overall","overall",710354.8,4615265.67,0.153914173265783,"Paid"
1992-01-01,"state53","overall","overall",570235.96,3667695.31,0.155475281287747,"Paid"
1992-01-01,"state54","overall","overall",182472.17,1363544.84,0.133821906436168,"Paid"
1992-01-01,"state55","overall","overall",651360.97,3545797.67,0.183699418472459,"Paid"
1992-01-01,"state56","overall","overall",57570.46,325749.36,0.17673238099378,"Paid"
1993-01-01,"state01","overall","overall",357204.81,3026102.02,0.118041231802225,"Paid"
1993-01-01,"state02","overall","overall",59764.14,363139.74,0.164576149115489,"Paid"
1993-01-01,"state04","overall","overall",399530.4,2737300.19,0.145957831537651,"Paid"
1993-01-01,"state05","overall","overall",230478.37,1736014.03,0.132762965055069,"Paid"
1993-01-01,"state06","overall","overall",2956150.68,22732919.25,0.130038322288942,"Paid"
1993-01-01,"state08","overall","overall",367509.27,2463640.59,0.149173248521612,"Paid"
1993-01-01,"state09","overall","overall",357499.76,2407565.93,0.148490122552947,"Paid"
1993-01-01,"state10","overall","overall",84247.32,536540.72,0.157019433678771,"Paid"
1993-01-01,"state11","overall","overall",59146.09,406339.61,0.145558268365715,"Paid"
1993-01-01,"state12","overall","overall",1686216.91,10537267.4,0.160024116878727,"Paid"
1993-01-01,"state13","overall","overall",776367.79,4812485.49,0.161323663544178,"Paid"
1993-01-01,"state15","overall","overall",167440.39,852145.31,0.196492767178405,"Paid"
1993-01-01,"state16","overall","overall",102209.04,726812.54,0.140626412417155,"Paid"
1993-01-01,"state17","overall","overall",1216068.58,8712860.95,0.139571673067961,"Paid"
1993-01-01,"state18","overall","overall",540516.11,4125996.6,0.131002558266771,"Paid"
1993-01-01,"state19","overall","overall",387429.42,2106329.37,0.183935820065976,"Paid"
1993-01-01,"state20","overall","overall",325471.63,1815388.5,0.179284836276092,"Paid"
1993-01-01,"state21","overall","overall",399798.63,2738191.24,0.14600829341635,"Paid"
1993-01-01,"state22","overall","overall",403304.32,2928928.59,0.137696877068621,"Paid"
1993-01-01,"state23","overall","overall",137885.46,941370.42,0.146473117351616,"Paid"
1993-01-01,"state24","overall","overall",581328.45,3695349.05,0.157313542546136,"Paid"
1993-01-01,"state25","overall","overall",786027.6,4533613.45,0.173377728090162,"Paid"
