"year","month","gender_parent","total_population","labor_force","lfpr"
1995,"April","Mothers",36978006.9896,24430003.087,66.0663055579791
1995,"April","Non-Fathers",54569322.0067,34721435.0253,63.6281224476949
1995,"April","Non-Mothers",53024230.4445,26961682.9879,50.8478534471529
1995,"April","Other",23391810.3961,11204918.4687,47.9010315104475
1995,"August","Fathers",29913316.0284,27083342.1763,90.5394177983705
1995,"August","Mothers",36307130.5014,23611689.0964,65.0332008349972
1995,"August","Non-Fathers",55294398.7292,35542331.9877,64.278358757034
1995,"August","Non-Mothers",54120695.1053,27894271.4231,51.5408594971433
1995,"August","Other",23165378.379,11830486.3746,51.0696876219584
1995,"December","Fathers",30046054.7315,27148613.5362,90.3566667198328
1995,"December","Mothers",36837665.619,24617755.8092,66.8276759548595
1995,"December","Non-Fathers",55227686.82,34525224.1212,62.5143403773651
1995,"December","Non-Mothers",53896411.6189,27452754.0166,50.9361443405874
1995,"December","Other",23500187.8356,11352555.5407,48.3083608527683
1995,"February","Fathers",29428240.7526,26433036.1439,89.8220058960359
1995,"February","Mothers",36562300.2048,24014204.7349,65.6802351066177
1995,"February","Non-Fathers",55137066.3886,34645646.5359,62.8354912677459
1995,"February","Non-Mothers",53321711.5887,27099527.4306,50.8226885881566
1995,"February","Other",23436234.3933,11279966.5735,48.1304563873313
1995,"January","Fathers",28987514.0264,25968092.5348,89.5837170139871
1995,"January","Mothers",36430462.6248,23648938.3265,64.9152841402596
1995,"January","Non-Fathers",55568279.3083,34765110.7455,62.5628707209354
1995,"January","Non-Mothers",53369131.4886,26964397.3648,50.5243323484846
1995,"January","Other",23397408.9916,11297781.8811,48.2864657584781
1995,"July","Fathers",29824611.1192,26971018.276,90.4320870042696
1995,"July","Mothers",36331697.7543,23577092.9114,64.8940026718392
1995,"July","Non-Fathers",55135133.0027,35798602.5597,64.928840487148
1995,"July","Non-Mothers",53922586.4758,28136844.7302,52.1800725245767
1995,"July","Other",23400609.1332,12340294.6999,52.7349293757999
1995,"June","Fathers",29883310.1133,27070838.5517,90.5884871825218
1995,"June","Mothers",36686262.323,23803897.169,64.8850432334079
1995,"June","Non-Fathers",54979626.5105,35546690.7843,64.6542965829557
1995,"June","Non-Mothers",53471752.0163,27423545.3153,51.2860422208354
1995,"June","Other",23431581.9437,12048734.3718,51.4209172933777
1995,"March","Fathers",30312262.6126,27123359.7513,89.4798256994037
1995,"March","Mothers",37015736.6103,24400391.5757,65.9189680124057
1995,"March","Non-Fathers",54344484.1169,34312439.4295,63.1387710953163
1995,"March","Non-Mothers",52998906.4022,26886300.598,50.7299158098929
1995,"March","Other",23335539.1676,11232625.2426,48.1352719640429
1995,"May","Fathers",30104577.5858,27145600.4136,90.1710058419962
1995,"May","Mothers",36827645.1751,24346764.892,66.1100235332489
1995,"May","Non-Fathers",54856075.9186,34795228.0595,63.4300348262826
1995,"May","Non-Mothers",53341308.4952,27099996.659,50.8048966617282
1995,"May","Other",23156876.345,11383813.0666,49.1595364461061
1995,"November","Fathers",30029835.8124,27070536.9333,90.1454709989522
1995,"November","Mothers",36842151.9658,24790889.4086,67.2894716671626
1995,"November","Non-Fathers",55430475.75,34955738.5672,63.0623102079365
1995,"November","Non-Mothers",54008425.3024,27753034.9584,51.3864916501588
1995,"November","Other",23044250.6725,11082108.5187,48.0905570599651
1995,"October","Fathers",29756227.0202,27004974.5136,90.7540277040758
1995,"October","Mothers",36471589.377,24278853.9893,66.5692238918738
1995,"October","Non-Fathers",55623860.5134,35515754.6725,63.8498556998648
1995,"October","Non-Mothers",54345063.5969,28142959.8661,51.7856784101829
1995,"October","Other",22995027.7077,11136770.0383,48.43120947652
1995,"September","Fathers",29917893.8536,27158713.3735,90.7774909102835
1995,"September","Mothers",36581436.1807,24070062.878,65.7985726943633
1995,"September","Non-Fathers",55249520.1696,35008626.9608,63.3645810014886
1995,"September","Non-Mothers",54021837.8143,27536826.6839,50.9735095991325
1995,"September","Other",23234207.4804,11352755.5224,48.862245600488
1996,"April","Fathers",30259422.1923,27241658.6089,90.0270283939264
1996,"April","Mothers",36803545.4794,24636676.9835,66.9410423984555
1996,"April","Non-Fathers",55339322.8145,34986132.3866,63.2211068138205
1996,"April","Non-Mothers",54164792.4577,27457193.1252,50.6919566739644
1996,"April","Other",23534185.7225,11264631.5672,47.8649726828253
1996,"August","Fathers",30323590.1595,27693177.4421,91.3255234503427
1996,"August","Mothers",37065474.1112,24472771.492,66.0257883619115
1996,"August","Non-Fathers",55543348.6209,36085248.5934,64.9677224894967
1996,"August","Non-Mothers",54090454.109,27836941.4866,51.4636860517099
1996,"August","Other",23824463.1984,12090154.0689,50.7468057862137
1996,"December","Fathers",30521361.9542,27730511.3058,90.8560743370892
1996,"December","Mothers",37005046.0768,25240482.7797,68.2082187583717
1996,"December","Non-Fathers",55854694.0696,35333804.9153,63.2602245950374
1996,"December","Non-Mothers",54602347.9062,28186218.5656,51.6208911272834
1996,"December","Other",23652805.3836,11405299.5199,48.2196480921795
1996,"February","Fathers",30420841.133,27224904.1947,89.4942519033995
1996,"February","Mothers",36860835.2157,24533603.8536,66.5573737275234
1996,"February","Non-Fathers",55032147.2621,34124444.9612,62.0082018582275
1996,"February","Non-Mothers",53852344.4171,27332615.0984,50.7547357394545
1996,"February","Other",23606378.4087,10950185.9041,46.3865558473992
1996,"January","Fathers",30138894.7306,26895237.6663,89.2376376330526
1996,"January","Mothers",36626187.3841,24181985.7651,66.0237592067739
1996,"January","Non-Fathers",55252307.9817,34094434.0021,61.7068051046706
1996,"January","Non-Mothers",54110204.7528,27137270.1603,50.1518526575077
1996,"January","Other",23506019.5796,10837508.3771,46.1052469577004
1996,"July","Fathers",30281044.5828,27549373.8816,90.9789416486919
1996,"July","Mothers",37042884.1783,24347763.3318,65.7285842392993
1996,"July","Non-Fathers",55509531.4149,36324272.6207,65.4379017347456
1996,"July","Non-Mothers",54086152.2962,28208947.6448,52.1555822464781
1996,"July","Other",23721363.851,12418569.6698,52.3518367148037
1996,"June","Fathers",30429224.5099,27628409.9552,90.7956426763726
1996,"June","Mothers",37214581.2852,24543338.8016,65.9508664453541
1996,"June","Non-Fathers",55244334.9655,35924630.498,65.0286233338403
1996,"June","Non-Mothers",53810211.3723,27707134.3836,51.4904767645326
1996,"June","Other",23760515.5022,12160045.157,51.1775308741685
1996,"March","Fathers",30231565.7882,27131811.1132,89.7466287498417
1996,"March","Mothers",36674233.4566,24539030.6891,66.9108209668221
1996,"March","Non-Fathers",55354343.5069,34658609.57,62.6122673926749
1996,"March","Non-Mothers",54170702.8372,27591043.6704,50.9335161356864
1996,"March","Other",23490471.5925,11143775.4526,47.4395561141394
1996,"May","Fathers",30310018.0046,27507009.0811,90.7522030403459
1996,"May","Mothers",37093949.8994,24784891.6675,66.8165340566789
1996,"May","Non-Fathers",55321518.5738,35305371.3124,63.8185144272602
1996,"May","Non-Mothers",53960486.4052,27403474.6107,50.7843357914194
1996,"May","Other",23592449.839,11563014.2735,49.011503054615
1996,"November","Fathers",30683526.4689,28020260.0857,91.3202076498625
1996,"November","Mothers",37128447.1437,25423783.1809,68.47521277284
1996,"November","Non-Fathers",55591399.4458,35370485.5735,63.6258232858217
